contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA $4K Daily Dollar [Single Entry] ,550,Classic,154290617,1,1,4000,Wed 7:00PM,111,4756,95941
NBA $3K Ankle Breaker [2 Entry Max],27500,Classic,154290588,50,2,3000,Wed 7:00PM,2,68,95941
NBA $4K All Star [Single Entry] (Must Fill),583000,Classic,154302847,1060,1,4000,Wed 7:00PM,1,4,95941
NBA $100 Double Up,55000,Classic,154290619,100,1,5000,Wed 7:00PM,3,55,95941
NBA $250 Double Up,137500,Classic,154290618,250,1,4000,Wed 7:00PM,1,17,95941
NBA Single Entry $50 Double Up,27500,Classic,154290620,50,1,2000,Wed 7:00PM,5,45,95941
NBA $2 Double Up,1100,Classic,154290601,2,20,2000,Wed 7:00PM,36,1149,95941
NBA Single Entry $100 Double Up,55000,Classic,154290591,100,1,4000,Wed 7:00PM,4,44,95941
NBA Single Entry $100 Double Up,55000,Classic,154290592,100,1,3000,Wed 7:00PM,4,33,95941
NBA $50 Double Up,27500,Classic,154290593,50,2,3000,Wed 7:00PM,4,68,95941
NBA $10 Double Up,5500,Classic,154290595,10,10,3000,Wed 7:00PM,20,344,95941
NBA Showdown $285 Triple Threat [Single Entry] (MEM vs LAL),18150,Showdown Captain Mode,154311005,33,1,285,Tue 10:30PM,3,10,95836
Reignmakers PGAT Showdown Pack Party [Top 5 Win] (MEM vs LAL),11000,Showdown Captain Mode,154281315,20,1,174.95,Tue 10:30PM,2,10,95836
Reignmakers PGAT Showdown Pack Party [Top 5 Win] (MEM vs LAL),11000,Showdown Captain Mode,154281316,20,1,174.95,Tue 10:30PM,2,10,95836
Reignmakers UFC 11-18 Event Pack Party [5 Packs] (MEM vs LAL),6600,Showdown Captain Mode,154281319,12,1,99.95,Tue 10:30PM,3,9,95836
Reignmakers UFC 11-18 Event Pack Party [5 Packs] (MEM vs LAL),6600,Showdown Captain Mode,154281320,12,1,99.95,Tue 10:30PM,3,9,95836
NBA In-Game $5K Pull Up Jumper [$1K to 1st] (2H SAC vs LAL),5500,In-Game Showdown (H2),154290714,10,17,5000,Wed 11:00PM,1,588,95953
NBA In-Game $1.53K Showtime [Single Entry] (2H SAC vs LAL),55000,In-Game Showdown (H2),154290723,100,1,1530,Wed 11:00PM,0,17,95953
NBA In-Game $1.35K 3-Ball [Single Entry] (2H SAC vs LAL),165000,In-Game Showdown (H2),154290719,300,1,1350,Wed 11:00PM,0,5,95953
NBA In-Game $300 Sharpshooter (2H SAC vs LAL),1650,In-Game Showdown (H2),154290715,3,3,300,Wed 11:00PM,0,118,95953
NBA In-Game $4K All Star [Single Entry] (Must Fill) (2H SAC vs LAL),583000,In-Game Showdown (H2),154300857,1060,1,4000,Wed 11:00PM,0,4,95953
NBA Showdown $6K All-Star [Single Entry] (SAC vs LAL),583000,Showdown Captain Mode,154290709,1060,1,6000,Wed 10:00PM,1,6,95951
NBA Showdown $3K High Five [Single Entry] (SAC vs LAL),2750,Showdown Captain Mode,154290706,5,1,3000,Wed 10:00PM,6,713,95951
NBA Showdown $3K Triple Threat [3 Entry Max] (SAC vs LAL),18150,Showdown Captain Mode,154290701,33,3,3000,Wed 10:00PM,0,106,95951
NBA Showdown $3K Showtime [Single Entry] (SAC vs LAL),55000,Showdown Captain Mode,154290705,100,1,3000,Wed 10:00PM,1,33,95951
NBA Showdown $1.5K Pick and Roll [Single Entry] (SAC vs LAL),6600,Showdown Captain Mode,154290704,12,1,1500,Wed 10:00PM,1,147,95951
