Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,AJ Green (31025722),AJ Green,31025722,PG/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,6.88
PG/SF,Andre Jackson Jr. (31025725),Andre Jackson Jr.,31025725,PG/SF/F/G/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,5.96
PF,Chris Livingston (31025730),Chris Livingston,31025730,PF/F/UTIL,3000,MIL@TOR 11/15/2023 07:30PM ET,MIL,3.5
PG,Duane Washington Jr. (31025536),Duane Washington Jr.,31025536,PG/G/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,0
PF,Miles Norris (31025539),Miles Norris,31025539,PF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,ATL,0
SF,Seth Lundy (31025542),Seth Lundy,31025542,SF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,ATL,0
C,Bruno Fernando (31025545),Bruno Fernando,31025545,C/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,ATL,-0.33
PF/C,Mouhamed Gueye (31025547),Mouhamed Gueye,31025547,PF/C/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,ATL,1
PG,Kobe Bufkin (31025551),Kobe Bufkin,31025551,PG/G/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,ATL,1.75
PF,Jacob Toppin (31025684),Jacob Toppin,31025684,PF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,0
SF,Charlie Brown (31025687),Charlie Brown,31025687,SF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,0
PG,Miles McBride (31025690),Miles McBride,31025690,PG/G/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,3.36
SF,DaQuan Jeffries (31025693),DaQuan Jeffries,31025693,SF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,2.75
SF,Dylan Windler (31025696),Dylan Windler,31025696,SF/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,2.08
PF/C,Jericho Sims (31025699),Jericho Sims,31025699,PF/C/F/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,2.9
PG,Ryan Arcidiacono (31025703),Ryan Arcidiacono,31025703,PG/G/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,0.42
SG/SF,Evan Fournier (31025706),Evan Fournier,31025706,SG/SF/F/G/UTIL,3000,NYK@ATL 11/15/2023 07:30PM ET,NYK,0
C,John Butler (31025444),John Butler,31025444,C/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,0
C,Mike Muscala (31025508),Mike Muscala,31025508,C/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,7.04
PG/SG,Ryan Rollins (31025510),Ryan Rollins,31025510,PG/SG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,12.42
PG,Jared Butler (31025514),Jared Butler,31025514,PG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,2.25
PF,Patrick Baldwin Jr. (31025517),Patrick Baldwin Jr.,31025517,PF/F/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,0.75
SG,Johnny Davis (31025520),Johnny Davis,31025520,SG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,WAS,9.35
SG,Dexter Dennis (31025642),Dexter Dennis,31025642,SG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,0
C,Richaun Holmes (31025645),Richaun Holmes,31025645,C/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,5
SF/PF,Olivier-Maxence Prosper (31025647),Olivier-Maxence Prosper,31025647,SF/PF/F/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,2.08
SG,AJ Lawson (31025651),AJ Lawson,31025651,SG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,0
SG,Seth Curry (31025654),Seth Curry,31025654,SG/G/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,4.89
PF,Greg Brown (31025657),Greg Brown,31025657,PF/F/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,0
PF/C,Markieff Morris (31025660),Markieff Morris,31025660,PF/C/F/UTIL,3000,DAL@WAS 11/15/2023 07:00PM ET,DAL,1.25
